Название,Вымышленный автор,Автор,Редкость,Тип,Архетип,Общение,Интеллект,Самоотверженность,Здоровье,Способности,Структура,Особенности,Передвижение,Форма тела,Размер тела,Положение тела,Оружие,URL в игре,Текст
Сборный скорпион,нет,Александр и Елена,эпический спутник,конструкты,воин,жестовое,рефлексы,доблестный,600,"грузовой,быстроногий,шумный,боец,таран",металл,"худой,хвост",6 лап,скорпионье,средний,горизонтальное,"жало на хвосте (урон: колющий; материал: металл; тип силы: равновесие),клешня (урон: рвущий / режущий; материал: металл; тип силы: физическая)",https://the-tale.org/guide/companions/160,"
> Герой, восседающий на гигантском скорпионе – эпическое зрелище. Не зря этот мотив так часто используется в живописи и в технике шпалерного ткачества. Первые экземпляры металлического скорпиона были созданы на заре магомеханики. С тех пор, постоянно улучшаемый и совершенствующийся, он считается одним из самых желанных ездовых конструктов для любого путешественника.

"
Самовоз,нет,Александр и Елена,эпический спутник,конструкты,воин,жестовое,рефлексы,нерешительный,300,"грузовой,быстроногий,редкий,дорогой,сложный,шумный,таран",дерево,красивый,ездит на колёсах,бочкообразное,средний,горизонтальное,шипы (урон: рвущий / колющий; материал: металл; тип силы: физическая),https://the-tale.org/guide/companions/143,"
> Одним из самых престижных средств передвижения является самовоз – небольшой, но весьма дорогой конструкт – последнее слово транспортной магомеханики. Он представляет собой трёхколёсную повозку из драгоценных пород древесины, украшенную бронзовыми заклёпками и шипами, оборудованную рычагами управления, удобным откидным кожаным креслом, просторным коробом для багажа и каркасом для натяжного тента на случай ненастья. Скорость такого магомеханического дива невелика, но оно и не создавалось для быстрых перемещений. Главные достоинства самовозов – презентабельность и комфорт седока во время путешествия.

"
Кобыла,нет,Александр и Елена,обычный спутник,животные,воин,жестовое,инстинкты,нерешительный,300,"исполнительный,миролюбивый,скакун,едок,вьючный",мёртвая плоть,"шерсть: короткая,грива",4 копыта,лошадиное,большой,горизонтальное,копыто (урон: ударный; материал: роговое образование; тип силы: физическая),https://the-tale.org/guide/companions/162,"
> Как правило, кобылы спокойнее и послушнее жеребцов, что и делает их более популярными среди дам. Впрочем, многие путешественники также предпочитают отправляться в странствия на миролюбивых кобылках всевозможных мастей.

"
Гигантский сокол,нет,Александр и Елена,редкий спутник,животные,воин,жестовое,инстинкты,героический,500,"боец,ленивый,едок,летающий,острый глаз,самостоятельный",живая плоть,крылья: пернатые,парит над землёй,птичье,маленький,горизонтальное,клюв (урон: ударный / рвущий; материал: роговое образование; тип силы: физическая),https://the-tale.org/guide/companions/121,"
> Если бы в небе Пандоры могли быть хозяева, то гигантские соколы заслуженно претендовали бы на это звание. Большая хищная птица может схватить своими мощными когтями и с лёгкостью поднять под облака овцу, перебить острым клювом хребет волку или оленю. Сила, хорошее зрение, способность развивать необычайно высокую скорость в пикирующем полёте делают гигантского сокола прекрасным спутником герою-ходоку.

"
Сапсан,нет,Александр и Елена,обычный спутник,животные,воин,жестовое,инстинкты,храбрый,300,"временный,острый глаз,едок,летающий",живая плоть,"крылья: пернатые,глаза: жёлтые",парит над землёй,птичье,крохотный,горизонтальное,клюв (урон: ударный / рвущий; материал: роговое образование; тип силы: ближе к физике),https://the-tale.org/guide/companions/128,"
> Красивая птица может стать украшением любого героя, но только тот, кому сапсан станет другом, узнает, как много пользы можно получить от пернатых. Сапсаны довольно хорошо приручаются, но имеют небольшой ареал обитания, поэтому в качестве спутников ходоков встречаются нечасто.

"
Белая кобра,нет,Александр и Елена,обычный спутник,хладнокровные гады,воин,жестовое,рефлексы,доблестный,300,"сдержанный,не жилец,отравитель,едок,самостоятельный",живая плоть,"кожа: чешуя,хвост",ползает по змеиному,змеиное,крохотный,горизонтальное,клыки (урон: кусательный; материал: зуб; тип силы: ближе к магии),https://the-tale.org/guide/companions/149,"
> Белая кобра – одна из самых ядовитых змей в дикой природе. Она издавна привлекала внимание магов-дрессировщиков, но только совсем недавно была разработана техника их успешной дрессуры. В природе кобры не нападают на крупных существ, если их не потревожить. Но теперь получены экземпляры, приученные атаковать по команде и способные быть отличными помощниками героям-ходокам, охранникам складов и торговых лавок, караванщикам и телохранителям. Конечно, такая кобра недёшево стоит.

"
Оцелот-конструкт,нет,Александр и Елена,необычный спутник,конструкты,воин,жестовое,рефлексы,доблестный,300,"терзатель,боец,дорогой,сложный,громила,таран",металл,"глаза: красные,глаза: светятся,хвост",4 лапы,кошачье,маленький,горизонтальное,"когти (урон: рвущий; материал: металл; тип силы: равновесие),клыки (урон: кусательный; материал: металл; тип силы: равновесие)",https://the-tale.org/guide/companions/22,"
> Дикие кошки, пожалуй, самые частые вдохновители магомехаников. Силу и грацию этих мистических животных крайне редко удаётся передать механизмам, но в случае с оцелотом-конструктом мы видим превосходный результат. Невысокая прочность – единственный недостаток, легко компенсируемый скоростью, мощностью и надёжностью исполнения вложенных охранных задач.

"
Удачный эксперимент,нет,Александр и Елена,обычный спутник,конструкты,авантюрист,жестовое,рефлексы,храбрый,600,"боец,медлительный,мороз по коже,громила,таран",мёртвая плоть,уродливый,2 ноги,гуманоидное,средний,вертикальное,"когти (урон: рвущий; материал: роговое образование; тип силы: ближе к физике),клыки (урон: кусательный; материал: зуб; тип силы: ближе к физике)",https://the-tale.org/guide/companions/148,"
> Как известно, из множества алхимических и магических лабораторий, разбросанных по всей Пандоре, порой сбегают результаты разных экспериментов над животными и чудовищами. Но иногда ожидания оправдываются и тогда путешественники, караванщики, бывает, что и городская стража получают весьма полезных спутников. Эти удачные эксперименты, как правило, жутко выглядят, но в бою способны оказать неоценимую пользу.

"
Ржавый конструкт,нет,Александр и Елена,обычный спутник,конструкты,воин,жестовое,рефлексы,доблестный,300,"не жилец,неповоротливый,шумный,боец,сложный,тягловой",металл,торс: мощный,2 ноги,гуманоидное,средний,вертикальное,кулак (урон: ударный; материал: металл; тип силы: физическая),https://the-tale.org/guide/companions/99,"
> Довольно часто богатые господа выбрасывают или продают по дешёвке ещё вполне рабочих ржавых конструктов. Иногда кому-то удаётся починить разбитое кем-то магомеханическое существо. Многие начинающие ходоки не побрезгуют такими конструктами, пусть и ржавыми, но способными выручить в сложной ситуации.

"
Ездовой варан,нет,Александр и Елена,необычный спутник,конструкты,воин,жестовое,рефлексы,доблестный,500,"ездовой,сложный,неповоротливый,грузовой",металл,"худой,хвост",4 лапы,ящериное,средний,горизонтальное,клыки (урон: кусательный; материал: металл; тип силы: физическая),https://the-tale.org/guide/companions/58,"
> Стальное тело этой ящерицы, длинное и неповоротливое, абсолютно не приспособлено для боя. У этого конструкта другое назначение – его спина увенчана седлом. Ездовой варан не отличается скоростью, зато не ведает усталости. И, конечно, многих привлекает оригинальность подобного транспортного средства.

"
Глиняная горилла,нет,Александр и Елена,редкий спутник,конструкты,воин,жестовое,рефлексы,храбрый,600,"боец,грузовой,таран",глина,"торс: мощный,зубы: клыки",2 лапы,гуманоидное,большой,вертикальное,"кулак (урон: ударный; материал: камень; тип силы: физическая),клыки (урон: кусательный; материал: камень; тип силы: физическая)",https://the-tale.org/guide/companions/98,"
> Любопытным конструктом с точки зрения внешности является глиняная горилла. Огромная обезьяна рыжего керамического цвета выглядит вполне благопристойно и совсем не страшно. При этом она является опасным противником: трудно позавидовать тому, кто попадёт под оглушающий удар мощной лапы.

"
Молотобой,нет,Александр и Елена,обычный спутник,конструкты,воин,жестовое,рефлексы,героический,600,"запчасти,боец,неуклюжий,громила,таран",металл,толстый,4 лапы,бочкообразное,средний,вертикальное,молот (урон: ударный; материал: металл; тип силы: физическая),https://the-tale.org/guide/companions/167,"
> Как это ни странно, боевой конструкт прозванный авантюристами молотобоем, был разработан людьми, а вовсе не дварфами, как многие думают. Четырёхногий, грузный магомеханизм с бочкообразным корпусом изначально был оснащён двумя огромными клинками, установленными по центру передней части конструкта. Но уже вторая партия волшебных устройств, попавшая на рынок, имела вместо мечей тяжёлый молот. Всё дело в том, что в то время дварфы лидировали в производстве боевых конструктов и их изделия стоили значительно дороже. Безусловно, долго выдавать молотобоя за дело рук дварфов не удалось, и, жаждая справедливости, бородачи казнили людей-изобретателей. Чертежи при этом исчезли, но появились позже сразу в нескольких мастерских.

"
Белая ворона,нет,Александр и Елена,легендарный спутник,животные,авантюрист,жестовое,инстинкты,нерешительный,300,"исполнительный,воодушевление,очень редкий,едок,летающий,острый глаз",живая плоть,"глаза: красные,крылья: пернатые,худой",парит над землёй,птичье,крохотный,горизонтальное,клюв (урон: ударный / рвущий; материал: роговое образование; тип силы: равновесие),https://the-tale.org/guide/companions/61,"
> Если кого-то пытаются оскорбить, то, бывает, несправедливо обзывают белой вороной. Конечно, вороны-альбиносы встречаются необычайно редко, но ничего отрицательного в них нет. Ходоки знают – это замечательный спутник, ценящий дружбу и доверие. Белая, прекрасная птица на плече героя всегда привлечёт взгляды окружающих.

"
Механическая собака,нет,Александр и Елена,обычный спутник,конструкты,воин,жестовое,рефлексы,храбрый,400,"боец,медлительный,сложный,таран,телохранитель",металл,"глаза: светятся,хвост",4 лапы,собачье,маленький,горизонтальное,клыки (урон: кусательный; материал: металл; тип силы: ближе к физике),https://the-tale.org/guide/companions/14,"
> Один из многих «домашних» конструктов – механическая собака. Нет ничего удивительного в том, что магомеханики брали за основу образ всеми любимого животного. Однако полученный результат весьма далёк от ожидаемого: лязгающие, периодически заклинивающиеся механизмы не очень-то похожи на собак, к тому же довольно сложно устроены, что затрудняет их эксплуатацию и ремонт.

"
Дварфский мастиф,нет,Александр и Елена,необычный спутник,животные,воин,жестовое,инстинкты,доблестный,500,"честный,боец,ленивый,едок,громила,пожиратель",живая плоть,"зубы: клыки,шерсть: длинная",4 лапы,собачье,средний,горизонтальное,клыки (урон: кусательный; материал: зуб; тип силы: физическая),https://the-tale.org/guide/companions/12,"
> Издалека эту собаку можно принять за медведя. Невероятных размеров пёс с густой тёмно-бурой шерстью имеет грудь, в обхвате почти не уступающей медвежьей, огромную голову с короткой, но смертоносной пастью, толстые мощные лапы, медленный, но уверенный шаг. Горный, так ещё называют эту породу, мастифф был выведен для охраны, охоты и спасательных работ при снежных обвалах. Сложно найти собаку опаснее, сильнее и выносливее, и абсолютно точно не найти породы умней.

"
Ушастый сервал,нет,Александр и Елена,редкий спутник,конструкты,воин,жестовое,рефлексы,доблестный,500,"ловкий,вьючный,таран,боец",металл,"худой,зубы: клыки,хвост",4 лапы,кошачье,маленький,горизонтальное,"когти (урон: рвущий; материал: металл; тип силы: физическая),клыки (урон: кусательный; материал: металл; тип силы: ближе к физике)",https://the-tale.org/guide/companions/21,"
> Конструкт, что называется, на любителя. Многим нравится его внешний вид, очень напоминающий живого кота. Ценят также надёжность механизма, удивительную при столь небольших размерах. Ушастых сервалов сложно приобрести, их изготавливают в незначительных количествах. Это чудо магомеханики всегда легко узнать по длинным лапам и обязательным большим ушам, несущим сугубо декоративное назначение.

"
Призванная фосса,нет,Александр и Елена,легендарный спутник,стихийные существа,маг,жестовое,инстинкты,смелый,600,"подлый,миролюбивый,камуфляж,связной,боец,острый глаз,бодрость духа,телохранитель",энергия,"худой,зубы: клыки,глаза: жёлтые,глаза: светятся,хвост",4 лапы,кошачье,маленький,горизонтальное,клыки (урон: кусательный; материал: экзотика; тип силы: равновесие),https://the-tale.org/guide/companions/28,"
> У фоссы, мелкого хищника, имеется двойник в нематериальном мире. Это существо магического происхождения может оказать большую помощь своему обладателю благодаря изрядной хитрости и особой связи с Хранителем. Призванная фосса крупнее живого прообраза, гораздо умнее его и обладает подлыми повадками. При этом она до конца готова защищать хозяина, не чувствуя ни страха, ни боли.

"
Храмовый страж,нет,Александр и Елена,легендарный спутник,конструкты,воин,жестовое,рефлексы,смелый,500,"дорогой,боец,особый,сложный,страшный,телохранитель,таран",металл,толстый,2 лапы,птичье,маленький,горизонтальное,"арбалет (урон: стрелковый колющий; материал: дерево; тип силы: физическая),булава (урон: ударный; материал: металл; тип силы: физическая)",https://the-tale.org/guide/companions/3,"
> У служителей различных храмов свои тайны, которые они ревностно стерегут, в чём им помогают не только шпионы, воины и деньги. Храмовники вполне успешно используют магию, в том числе магомеханизмы. Один из таких наиболее редких и легендарных конструктов – храмовый страж. Он является изобретением поклонников некоего доброго божества. Это мощный и крайне опасный боевой магомеханизм, вооружённый двумя булавами и осадным арбалетом, вмонтированным в стальной корпус. В целом же храмовый страж напоминает металлическую курицу ростом с гоблина.

"
Белый тигр,нет,Александр и Елена,эпический спутник,животные,воин,жестовое,инстинкты,героический,700,"честный,сдержанный,прожорливый,камуфляж,громила,самостоятельный,таран,пожиратель,телохранитель",живая плоть,"шерсть: короткая,зубы: клыки,красивый,глаза: голубые,хвост",4 лапы,кошачье,большой,горизонтальное,"когти (урон: рвущий; материал: роговое образование; тип силы: физическая),клыки (урон: кусательный; материал: зуб; тип силы: ближе к физике)",https://the-tale.org/guide/companions/26,"
> Многие мечтают хотя бы просто увидеть белого тигра – одну из легенд Пандоры. Счастливец тот, кто сможет стать другом этому могучему и прекрасному зверю, воплотившему в себе дух свободы и благородства. Белый тигр крупнее своих сородичей, его очень сложно повстречать и почти невозможно подчинить.

"
Пантера-альбинос,нет,Александр и Елена,необычный спутник,животные,воин,жестовое,инстинкты,храбрый,500,"агрессивный,прожорливый,острый глаз,стремительный,страшный,боец,телохранитель,громила",живая плоть,"глаза: красные,шерсть: короткая,хвост,красивый",4 лапы,кошачье,большой,горизонтальное,"когти (урон: рвущий; материал: роговое образование; тип силы: ближе к физике),клыки (урон: кусательный; материал: зуб; тип силы: ближе к физике)",https://the-tale.org/guide/companions/30,"
> Нет сомнения, что пантера-альбинос – один из самых редких зверей во всей Пандоре. Огромная белоснежная кошка с пугающими красными глазами обладает агрессивным и своенравным характером. При этом она очень легко привязывается к хозяину, и, как утверждают специалисты, сложно найти более преданного спутника. Этот факт в сочетании с выдающейся силой, чутким слухом и прекрасным ночным зрением делает пантеру-альбиноса завидным помощником любому искателю приключений.

"
Вороной першерон,нет,Александр и Елена,необычный спутник,животные,воин,жестовое,инстинкты,смелый,500,"ездовой,едок,тягловой,самостоятельный",живая плоть,"шерсть: короткая,грива",4 копыта,лошадиное,большой,горизонтальное,копыто (урон: ударный; материал: роговое образование; тип силы: физическая),https://the-tale.org/guide/companions/40,"
> Известная повсеместно порода тягловых лошадей заслужила добрую славу. Высокие, с широкой грудью и сильными ногами першероны незаменимы для караванщиков. Вороная же масть, выведенная дварфами – гарантия прекрасной родословной.

"
Сверкающая онцилла,нет,Александр и Елена,необычный спутник,стихийные существа,авантюрист,жестовое,инстинкты,нерешительный,300,"упрямый,себе на уме,сдержанный,боец,связной,поклонник,телохранитель",энергия,"худой,тело: светится,глаза: светятся,хвост,глаза: белые",4 лапы,кошачье,маленький,горизонтальное,"когти (урон: рвущий; материал: экзотика; тип силы: магическая),клыки (урон: кусательный; материал: экзотика; тип силы: магическая)",https://the-tale.org/guide/companions/32,"
> Мелкая бестелесная кошка. Её не перепутать с обычным хищником благодаря искрящейся шерсти, сверкающей даже при свете дня. Если коснуться этого существа, то рука пройдёт сквозь тело онциллы, не встретив препятствия. Такие создания очень непослушны, но всё же могут принести немалую пользу своему хозяину, магически атакуя его противников.

"
Бродячий колдун,нет,Александр и Елена,эпический спутник,разумные двуногие,маг,"вербальное,жестовое,телепатическое",нормальный,смелый,400,"себе на уме,сдержанный,морозко,едок,мудрый,телепортатор,поджигатель",живая плоть,"худой,одежда: хорошо",2 ноги,гуманоидное,средний,вертикальное,посох (урон: ударный; материал: кость; тип силы: равновесие),https://the-tale.org/guide/companions/46,"
> Не каждый будет ценить способность к магии. Кто-то будет развивать её, учением и трудом постигая сложнейшую науку, а кто-то удовольствуется природными данными и пойдёт по другому пути – станет бродячим колдуном. Каждому своё. Кто-то получит известность, богатство и уважение сограждан. А кто-то всю жизнь проведёт в дороге, нанимаясь спутником к караванщикам или героям-ходокам, но не испортит драгоценное здоровье в сырых и холодных лабораториях, вдыхая едкую пыль старых фолиантов. Давно подмечено, что бродячие колдуны имеют весьма посредственные магические способности, но более крепки и живучи, чем их учёные собратья.

"
Исследователь,нет,Александр и Елена,необычный спутник,разумные двуногие,авантюрист,"вербальное,жестовое",нормальный,нерешительный,300,"исполнительный,миролюбивый,едок,неповоротливый,вьючный,охотник,торгаш,мудрый",живая плоть,"худой,одежда: плохо",2 ноги,гуманоидное,средний,вертикальное,посох (урон: ударный; материал: дерево; тип силы: ближе к физике),https://the-tale.org/guide/companions/70,"
> В мире много профессий, и одна из редких – учёный. Не важно, что именно он исследует, способы выращивания картофеля в северо-восточных заселённых землях или же влияние сбежавших экспериментов на холодные топи в период жаркого и сырого месяцев, всё равно, его, этого исследователя, встретишь не часто. Большинство из них предпочитают заниматься науками в городе, в безопасности, но всё же периодически находятся те, кто готов рискуя жизнью толкать прогресс вперёд, по трактам Пандоры. Такие исследователи с удовольствием примыкают к опытным ходокам, способным защитить их от хищников и бандитов.

"
Мудрец,нет,Александр и Елена,редкий спутник,разумные двуногие,авантюрист,"вербальное,жестовое",нормальный,нерешительный,300,"исполнительный,неуклюжий,мудрый,едок,вьючный,лекарь,известный",живая плоть,"худой,одежда: плохо",2 ноги,гуманоидное,средний,вертикальное,посох (урон: ударный; материал: дерево; тип силы: равновесие),https://the-tale.org/guide/companions/47,"
> Миру нужны мудрецы, но их всегда не хватает. Собиратели накопленного разумом, исследователи нашей души, рыцари науки странствуют по миру в поисках новых знаний, рискуют своей жизнью, являясь лёгкой мишенью для негодяев и монстров всех мастей. Их беззаветное стремление к поиску ответов на все вопросы порой приводит к гибели. Поэтому каждый уважающий себя герой должен помогать им, охраняя на трактах и набираясь при этом мудрости.

"
Обезьянка-капуцин,нет,Александр и Елена,обычный спутник,животные,воин,жестовое,инстинкты,нерешительный,300,"милый,трусливый,едок,ленивый,карманник,грабитель",живая плоть,"худой,хвост",2 лапы,гуманоидное,крохотный,вертикальное,клыки (урон: кусательный; материал: зуб; тип силы: ближе к физике),https://the-tale.org/guide/companions/74,"
> Редкая, ласковая и симпатичная обезьянка-капуцин – приятнейший спутник для каждого авантюриста. Не очень-то послушный и трусоватый, капуцин легко обучается приносить всякие блестящие вещи, например, монеты или серьги. Скрасить отдых на привале своему хозяину капуцин считает делом чести: если герой утром обнаруживает второй носок в муравейнике, а ботинок в ближайшем ручье, извлекает осиное гнездо из рюкзака и крысиный хвост из котелка с кашей, значит ночь для маленького друга прошла не зря.

"
Священник,нет,Александр и Елена,обычный спутник,разумные двуногие,маг,"вербальное,жестовое",нормальный,нерешительный,400,"экзорцист,мудрый,воодушевление,временный,сан",живая плоть,худой,2 ноги,гуманоидное,средний,вертикальное,посох (урон: ударный; материал: дерево; тип силы: ближе к физике),https://the-tale.org/guide/companions/81,"
> В мире много Богов, у них всегда находятся служители. Герои же, путешествуя по Пандоре, с радостью принимают в компанию священников тех Богов, которым молятся и сами. Такие спутники зачастую бывают очень полезны: рубака-ходок и благословляющий его священник – отличный тандем. К сожалению, обычно недолгий, так как служители культа любят городской комфорт.

"
Следопыт,нет,Александр и Елена,обычный спутник,разумные двуногие,авантюрист,"вербальное,жестовое",нормальный,доблестный,400,"добросовестный,камуфляж,стремительный,боец,острый глаз,нелюдимый",живая плоть,одежда: шкуры,2 ноги,гуманоидное,средний,вертикальное,"копьё (урон: колющий / ударный; материал: металл; тип силы: физическая),нож (урон: колющий / режущий; материал: металл; тип силы: ближе к физике)",https://the-tale.org/guide/companions/85,"
> Читать следы – особое искусство. Следопыты всегда находят себе работу, и иногда путешествуют с героями. Превосходное знание дикой природы и повадок всевозможных хищников позволяют следопытам вовремя предупредить ходока об опасности. Герой, подрядившийся на поиск какого-либо редкого артефакта, с большим удовольствием примет в компанию такого спутника.

"
Юный рыцарь,нет,Александр и Елена,обычный спутник,разумные двуногие,воин,"вербальное,жестовое",нормальный,героический,500,"честный,агрессивный,едок,самостоятельный,боец,громила,нелюдимый",живая плоть,одежда: хорошо,2 ноги,гуманоидное,средний,вертикальное,меч (урон: колющий / рубящий; материал: металл; тип силы: ближе к физике),https://the-tale.org/guide/companions/79,"
> Младшие сыновья благородных родителей частенько оказываются не у дел. Кто-то из них станет прожигать жизнь в кабаках, кто-то уйдёт в науку или религию, а кто-то выберет рыцарский путь. Часто, на первых порах, юные воины становятся спутниками ходоков. Где ещё, как не на пандорских трактах, лицом к лицу с опасностью и под руководством опытного героя, можно постичь все секреты боя?.. Позже благодарные смельчаки покидают ходоков и начинают самостоятельную взрослую жизнь.

"
Джэбе в яблоках,нет,Александр и Елена,редкий спутник,животные,воин,жестовое,инстинкты,нерешительный,500,"добросовестный,агрессивный,ленивый,едок,быстроногий,вьючный,острый глаз,самостоятельный",живая плоть,"шерсть: короткая,грива",4 копыта,лошадиное,большой,горизонтальное,копыто (урон: ударный; материал: роговое образование; тип силы: физическая),https://the-tale.org/guide/companions/95,"
> Джэбе – порода лошадей, заслужившая популярность благодаря лёгкости в воспитании. Эти скакуны отлично дрессируются, обладают хорошей скоростью, но имеют и недостатки: несмотря на агрессивный характер, они очень пугливы. По масти наиболее ценятся джэбе в яблоках. Многие обыватели рассматривают их как отдельную породу, что, конечно, неверно.

"
Бестелесная агуйя,нет,Александр и Елена,легендарный спутник,стихийные существа,маг,жестовое,инстинкты,храбрый,300,"честный,агрессивный,прилив сил,летающий,острый глаз,боец,связной",энергия,"худой,крылья: пернатые",парит над землёй,птичье,крохотный,горизонтальное,клюв (урон: ударный / рвущий; материал: экзотика; тип силы: магическая),https://the-tale.org/guide/companions/91,"
> Бестелесная агуйя – очень интересный и желанный помощник. Это живучее создание обладает сильным характером и отличается благородством. Волшебная птица умна: она постарается предупредить об опасности, чтобы избежать ненужного столкновения. Но если бой разгорелся, агуйя всегда бросится на защиту своего хозяина в самую гущу схватки. Плохо одно – бестелесная агуйя встречается очень редко.

"
Оруженосец,нет,Александр и Елена,эпический спутник,разумные двуногие,воин,"вербальное,жестовое",нормальный,доблестный,400,"исполнительный,честный,агрессивный,поклонник,грузовой,едок,боец,таран,телохранитель",живая плоть,"худой,одежда: хорошо",2 ноги,гуманоидное,маленький,вертикальное,копьё (урон: колющий / ударный; материал: металл; тип силы: ближе к физике),https://the-tale.org/guide/companions/106,"
> У многих воинов есть молодые помощники – оруженосцы. Эти юноши, как правило, занимаются чисткой оружия и доспехов, но могут выполнять и другие поручения в зависимости от прихотей господина. Некоторые оруженосцы стирают одежду, готовят еду в дороге, бегают на рынок узнать цену и многое другое. Общее у них одно – они учатся премудростям боя, стремятся стать достойными воинами и, может статься, заслужить когда-нибудь рыцарский пояс.

"
